,Photographer,Country,Story
1350,Samuel Aranda,Spain,"Samuel Aranda was born in 1979 in Santa Coloma de Gramanet, Barcelona, Spain. When he was 19, he began working as a photojournalist for El Pais and El Periodico de Catalunya. A few years later, he traveled to the Middle East to cover the Israeli-Palestinian conflict for the Spanish agency EFE."
1351,Tomasz Lazar,Poland,"He is a graduate of the West Pomeranian University of Technology, Faculty of Computer Science and Information Technology. He has won photography contests in Poland and abroad (e.g. World Press Photo, POY, CHIPP, Sony World Photography Award, the International Photography Award, BZWBK Press Photo, Grand Press Photo, Lumix Festival for Young Journalism or Grand Prix at Lódz Photo Festival). His work was published in newspapers and magazines like: New York Times, Newswek International, Sunday Times Magazine, New Yorker, Los Angeles Times or New York Magazine.He is a coffee-lover and a good music enthusiast. He derives pleasure from spending time with other people and devotes most of his time to photography. Recently, he is constantly on the move."
1352,Mohammed al-Law,Egypt,"Mohammed al-Law is an Egyptian photographer living in Cairo. He has been taking pictures since his childhood, visually exploring life’s moments."
1353,Paul Hilton,UK,"Paul Hilton is a Hong Kong-based photojournalist, who focuses on global environmental and conservation issues. Presently, Hilton is working on a manta and mobula ray project, Manta Ray of Hope, documenting the plight of the great rays and investigating and the use of gill rakers in traditional Chinese medicine in Hong Kong and Southern China.Hilton’s endeavors to bring about urgent change in the way we treat our surroundings, have taken him to all parts of the globe. In early 2009, he traveled to Sri Lanka to document a newly discovered blue-whale migration, from the Bay of Bengal to the horn of Africa in the Arabian Sea. Four years ago, Hilton started working for Greenpeace International, focusing on a variety of marine issues, from bluefin tuna to satellite tagging of humpback whales in the Pacific. Late in 2008, he was sent to the Maldives to document one of the only true sustainable pole-and-line tuna fisheries in the world."
1354,Donald Weber,Canada,"He has since devoted himself to the study of how power deploys an all-encompassing theater for its subjects, recording its secret collaboration with both masters and victims. Weber is the author of three books: Bastard Eden, Our Chernobyl, dealing with daily life in a post-atomic world, won the Photolucida Book Award; Interrogations, about post-Soviet authority in Ukraine and Russia, was selected to be included in Martin Parr and Gerry Badger’s seminal The Photobook: A History, Volume III; and Barricade: The EuroMaidan Revolt, is a collaboration with Ukrainian photographer Arthur Bondar.Weber is the recipient of numerous awards and fellowships, including a Guggenheim Fellowship, the Lange-Taylor Prize, the Duke and Duchess of York Prize, two World Press Photo Awards, and PDN’s 30. He was named an Emerging Photo Pioneer by American Photo and shortlisted for the prestigious Scotiabank Photography Prize. His diverse photography projects have been exhibited as installations, exhibitions and screenings at festivals and galleries worldwide including at the United Nations, the Museum of the Army at Les Invalides in Paris, the Portland Museum of Art and the Royal Ontario Museum. He is a dedicated teacher and is noted for his ongoing series of lectures and workshops, as well as being a frequent trainer with World Press Photo projects. Weber is represented by Circuit Gallery in Toronto."
1355,Christian Ziegler,Germany,"He is a regular contributor to National Geographic magazine and has been widely published in other magazines such as Geo, Smithsonian, and BBC Wildlife. Christian’s aim is to highlight species and ecosystems under threat and share their beauty, and importance with a broad audience. A tropical ecologist by training, he has worked in tropical rainforests on four continents, and for the past 12 years has been associate for communication with the Smithsonian Tropical Research Institute (STRI) in Panama.Ziegler photographed A Magic Web, a photography book on tropical ecology on assignment for STRI, and Deceptive Beauties, a book about wild orchids. He is a founding fellow of the International League of Conservation Photographers. Ziegler’s work has been awarded prizes in the Wildlife Photographer of the Year and the European Wildlife Photographer of the Year competitions, and in 2008, he was honored with the Vision Award by the North American Nature Photography Association. He's also won in three consecutive World Press Photo Contest awards.He lives on the edge of a rainforest national park in Central Panama, from where he starts his adventures around the world."
1356,Ali Lutfi,Indonesia,"Ali Lutfi was born in Boyolali, Indonesia, in 1976.He started his career in 1998 as a photojournalist and photo editor for a local newspaper in Surakarta.He started freelancing in 2007 and in 2009 he began contributing for the English-language newspaper, Jakarta Globe, covering Surakarta and the Central Java province."
1357,Randall Benton,USA,"Benton has been a professional photographer for 25 years. For the last 12 years, he has worked as a staff photographer for The Sacramento Bee newspaper. As a staff member, his photos have documented a rich and diverse cross-section of life in northern California. He has photographed the NBA, NFL, PGA, and WBC; Stephen Hawking, Arnold Schwarzenegger, Elton John, and the Pope; surgeons, teachers, cops, and murderers. He has shot from helicopters, inside tiger cages, in underwater caves, and on movie sets.Benton’s photos have won numerous awards from the San Francisco Bay Area Press Photographers Association, The California Newspaper Publishers Association, National Press Photographers Association, and Pictures of the Year International. One of his underwater photos was selected as the Underwater Picture of the Year by members of the international network of underwater photographers at Wetpixel.com. Benton lives in Sacramento, California, USA."
1358,Marie Hald,Denmark,"“Marie Hald is working thoroughly with projects about women and their relationship to beauty and the female body. Her work is very intimate and personal, both with reportage stories and portraits. Even though she has received prizes and her work has been published and exhibited, she deserves a larger recognition for her work focusing on important gender issues.”-Søren Pagter, Denmark, photojournalism department head The Danish School of Media and Journalism,Marie Hald lives and works in Copenhagen, Denmark.She graduated with a BA in photojournalism at The Danish School of Media and Journalism in Denmark and at ICP (International Center of Photography) in New York.Hald has won a World Press Photo Award, The Danish Picture of the Year and many other international prizes for her long term project documenting the life of a danish mother of three, working in the sex industry.Marie exhibited “The Girls from Malawa” (2015), a series documenting young girls with anorexia in Poland, in 'Fondation Calouste Gulbenkian', Paris and 'Haus der Photographie der Deichtorhallen', Hamburg.See Marie Hald's 'The fight against ourselves' on Witness, World Press Photo's online magazine.Marie Hald received a nomination from Søren Pagter."
1359,Xiaoqun Zheng,China,"Xiaoqun Zheng was born in 1955 in Zhejiang Province, China, and graduated from Tokyo Institute of Polytechnics. He has worked as a photographer for Wenzhou Daily since 1994 and is currently a photo editor there."
1360,Nemanja Pančić,Serbia,"Nemanja Pancic is a founding member of the Kamerades photo collective.He was nominated for the Joop Swart Masterclass and participated in the SEE New Perspectives Masterclass for professional photographers from southeastern Europe, a project from World Press Photo in partnership with the Robert Bosh Stiftung.Pancic is the winner of the Serbian Press Photo special award, life photo story category for 'Najdan Circles' (2011); Serbian Press Photo award, portrait category for 'Disconsolate Mother' (2010); Serbian Press Photo award, sport photo story category for 'Fighting Spirit' (2010); and the UNS (Serbian Journalist Association) Laza Kostic annual photography award, photo story for 'Baba Mondi (The one who opens the doors)' (2010). Pancic lives in Belgrade, Serbia."
1361,Alessio Romenzi,Italy,"He later decided to base himself in the Middle East, covering the so-called Arab Spring from the beginning, with a special focus on Egypt and Libya. Later his interests moved to Syria. Alessio was one of the first photographers to be smuggled inside the country when the regime of Bashar al-Assad began increasing the firepower against the opposition and denied entry to journalists.His images appear regularly in the major international magazines and are used by international humanitarian organizations. When asked about the motives underlying his work, he never has anything conclusive to say. He simply states that the camera is the best way he has to document what is going on in the world."
1362,Ilona Szwarc,Poland,"Ilona Szwarc is a photographer and artist based in Los Angeles, California. Szwarc received an MFA in Photography from Yale University and a BFA from School of Visual Arts.Szwarc has been awarded the Richard Benson Prize for Excellence in Photography, the Arnold Newman Prize for New Directions in Photographic Portraiture, the World Press Photo. Most recently she was chosen as a FOAM Talent.She has exhibited in the US and internationally, with recent exhibitions at Shulamit Nazarian and Regen Projects in Los Angeles, Danziger Gallery in New York and at the International Festival for Photography and Fashion in Hyeres, France.Szwarc’s photographs have been featured in numerous publications worldwide including The New York Times Magazine, The New Yorker, TIME, The UK Sunday Times Magazine, The Telegraph Magazine, Marie Claire, National Geographic, Surface and Nylon."
1363,Dominic Nahr,Switzerland,"Dominic Nahr was born in Switzerland, but raised in Hong Kong, where he established himself as a photojournalist working as a staff photographer for the South China Morning Post. In 2007, while at university in Toronto, Dominic became a freelance photographer, his work appearing in such publications as Newsweek and GQ. His current clients include National Geographic, Time and The Wall Street Journal. Dominic's accolades include an Oskar Barnack Newcomer Award, a PDN Top 30 Under 30, and an exhibition at Visa pour l'Image in Perpignan. He joined Magnum Photos as a nominee in the summer of 2010 and was a participant in the 2010 Joop Swart Masterclass in the autumn of 2010."
1364,Esteban  Felix,Peru,"Esteban Felix was born in Callao, Peru, in 1972. He began his career in 1995 as a staff photographer at El Sol and El Comercio newspapers as well as at the political magazine Oiga.From 1998 to 2000, he participated in a World Press Photo seminar in Lima, Peru, tutored by Vincent Alabiso.In 2000, Esteban began working for the Associated Press as a staff photographer assigned in Latin America. His past assignments have included news, Coup D’état, presidential elections, earthquakes and hurricanes."
1365,Fausto Podavini,Italy,"His passion for photography began when he was 18, first as assistant and studio photographer, then working on ethnological and social reportage. In 1992, he worked at MIFAV, the photography museum at Tor Vergata University in Rome and then studied at the John Kaverdash photography academy in Milan, taking a master’s degree in reportage.Podavini left studio photography to dedicate himself exclusively to reportage, and is nowadays a freelance photographer, collaborating with a number of NGOs. He has covered issues in Italy, Peru, Kenya, and Ethiopia, where he is currently developing personal photographic projects.His long term project “MiRelLa”, about Alzheimer's Disease, won him awards in the 2013 World Press Photo contest, Sony, PDN, World Report Award, SDN, Jacob Riis Award and The Fence.He also received recognition as Reporter for the Earth 2017."
1366,Søren Bidstrup,Denmark,"Søren Bidstrup was born in Hjørring, Denmark, in 1970. Since graduating from the Danish School of Journalism in 1996, he has worked as a staff photographer at Berlingske, based in Copenhagen."
1367,Daniel Rodrigues,Portugal,"After graduating from the Portuguese Institute of Photography in 2010, Daniel Rodrigues worked as a photojournalist for a Portuguese daily newspaper and for Global Imagens, a photo agency.Unemployed since September 2012, he took his first award-winning photo during a humanitarian mission to Guinea Bissau."
1368,Aaron  Huey,USA,"Aaron Huey is a National Geographic photographer, and a Harper’s Magazine contributing editor. He is only the second photographer to occupy the Harper’s masthead in its 162-year history. Huey was a 2012 Stanford Knight Journalism Fellow, where he worked on new media models for community storytelling. He is widely known for his 3,349-mile solo walk across America (with his dog Cosmo). The 2002 journey lasted 154 days. There was no media coverage; they walked every step. He now lives in Seattle, USA."
1369,Maika Elan,Vietnam,"Maika Elan (Nguyen Thanh Hai) is a freelance photographer based in Ho Chi Minh, Vietnam."
1370,Emilio Morenatti,Spain,"Emilio Morenatti is a photojournalist for The Associated Press based in Barcelona, Spain."
1371,Micah Albert,USA,"Micah Albert is a freelance documentary photographer represented by Redux Pictures photo agency. Based in northern California, he specializes in and is passionate about difficult-to-access regions and the ensuing, and often times under-covered, issues.He received his B.A. from Point Loma Nazarene University’s Keller Visual Art Center in Graphic Communications in 2002. Since 2005, Micah has worked on documenting projects including the global food crisis in Yemen, Dinka cattle camps in South Sudan, insecurity and unrest in Darfur refugee camps in Chad, marginalized Kurds living in Syria, undocumented refugees living in Jordan, gender-based violence in rebel-controlled territories in DR Congo, post-election unrest in Kenya, and overfishing practices in Tanzania.His clients include The New York Times, Smithsonian Magazine, BBC, The Washington Times, National Geographic Traveler, and many others. He currently lives in Sacramento, California with his wife and daughter."
1372,Sebastiano Tomada,Italy,USA
1373,Daniel Ochoa de Olza,Spain,"Daniel Ochoa de Olza was born the son of a writer and an art history teacher in Pamplona in October, 1978. His interest turned from painting to photography in 2001 when he started studying artistic photography in Pamplona and later in Barcelona.He became a full time relation with Associated Press in 2005 and has been an AP staff photographer since 2009.As a photographer, Daniel has covered a variety of breaking news and features. He is especially interested in ethnography.His work has received a number of awards in international contests including Pictures of the Year International, The Photographers Giving Back Award, and the National Headliner Awards.Daniel is currently based in Madrid, Spain."
1374,Majid Saeedi,Iran,"Majid Saeedi is an award-winning, internationally recognized Iranian photographer. He has photographed throughout the Middle East for the past two decades, focusing on humanitarian issues, with a special interest in telling previously untold stories of social injustice. He also especially enjoys doing street photography – portraying citizens and ordinary life."
1375,Wei Seng Chen,Malaysia,"Dr. Wei Seng Chen is a Malaysian freelance photographer. He takes on assignments for local and foreign photo agencies or event management companies, shooting mostly sports events and tournaments. Dr. Chen began experimenting with photography at the age of 13. He joined his school’s photography club in 1975 and learned all about photography, from shooting and processing film to making prints in the darkroom. However, he had to take a break from photography when he enrolled in medical school. He got back into photography in 2006 when he bought a DSLR camera. The long hours spent developing film and making prints in the darkroom were no longer necessary because the computer and printer took over the role. The Internet brought about a market place for Dr. Chen to sell his images as a hobbyist photographer. He began to get freelance work covering events when his images were shared on social networking websites and photography forums. His hobby now allows him to travel to exotic places in Asia looking for interesting local celebrations and traditional sports.Today he balances his time working as a family physician, researcher, preceptor to a medical school and a photographer."
1376,Ananda van der Pluijm,the Netherlands,"Ananda van der Pluijm was born in Tilburg, the Netherlands in 1980. She studied Photographic and Cultural Studies at the University of Amsterdam and University of Leiden from 2002–2006, and photography at the FotoAcademie in Amsterdam from 2009-2012. After graduation, she was selected for GUP’s New Talent 2013. Her clients include Doctors without Borders, IKON, and Footlocker"
1377,Anna Bedyńska,Poland,"Anna Bedynska is a documentary photographer based in Poland who touches and overcomes taboo subjects.Her main concentration is social change. She pays special attention to the situation of women in the modern world.One of the biggest honors of her work was entering the world of parents waiting for their child to be born. She assisted many deliveries, which resulted in an exhibition that traveled throughout Poland and abroad.She is a staff photographer at Gazeta Wyborcza and has received several prizes in press photo contests."
1378,Stefen Chow,Malaysia,"Stefen Chow’s clients include The Smithsonian, Time magazine, Geo, The Guardian, and various commercial companies. He won the grand prize at the Arles Photography Open Salon for the Poverty Line, a photo project on what it means to be poor done in conjunction with economist Lin Hui-Yi, and was awarded an artist’s residency during the Les Rencontres d’Arles. The project has been exhibited at the Three Shadows gallery in Beijing, China, and galleries in Singapore; Penang, Malaysia, and Cologne, Germany, and has been featured beyond photography-oriented press, including NPR, Foreign Policy, Xinhua and Singapore Business Times. The project was also presented at TED@ Shanghai, a global talent search by TED in 2012. In addition, Chow’s work has received awards from PDN, Billboard, International Photo Awards, and Photographie de la Paris. He is a judge for the Tokyo-based Nikon Photo Contest. At the age of 25, Chow climbed to the summit of Mount Everest, and is a member of the Explorers Club. Chow lives in Beijing, China, and Singapore."
1379,Nadav Kander,United Kingdom,"Nadav Kander is a London-based artist renowned for his portraiture and large-format landscape photographs. Kander was born in Israel in 1961 and moved to Johannesburg, South Africa, when he was three. He began photographing at an early age and moved to London in 1982 where he still lives with his wife, Nicole, and their three children, Oren, Ella and Talia.His work appears in publications including The Sunday Times Magazine, Rolling Stone, Time, Another Magazine. In 2009, The New York Times Magazine devoted an entire issue to Obama’s People, his 52 portraits of President Obama’s inaugural administration. Time Magazine recently commissioned Nadav to photograph President Barack Obama for their Person of the Year 2012 cover. Kander was named International Photographer of the Year at the 7th Annual Lucie Awards in 2009 and has also received awards from the Art Director’s Club and IPA in the USA, the D&AD and the John Kobal Foundation in the UK and Epic in Europe. He was awarded the Royal Photographic Society’s ‘Terence Donovan’ Award in 2005 and 2007. Other accolades include winner of the prestigious Prix Pictet Earth 2009, for his Yangtze, The Long River series and Silver Photographer of the Year Award at Lianzhou International Photo Festival 2008 in China."
1380,Bernat  Armangue,Not Specified,Not Specified
1381,Adel Hana,Palestinian Territories,"Adel Hana studied computer science at The American University in Cairo, Egypt, before participating in five training programs held in Jerusalem and Gaza for journalists.He then worked as a news editor and reporter for several Palestinian publications in East Jerusalem.He has been a Gaza-based photographer for The Associated Press since 1993."
1382,Emin Özmen,Turkey,"In 2008, he published two photobooks, ""Humans of Anatolia"" and ""Microcredit Stories in Turkey"", a collection of stories on women who were able to access a microcredit in Turkey. That same year, he obtained a degree in media photography and documentary (photography) at the University of Art and Design in Linz, Austria.In 2011, his work on drought in Somalia was published in a book and he worked on the disaster of Tohoku Earthquake and economic protests in Greece. The following year, he covered the Syrian civil war and ISIS crises in Iraq.Since 2012, Özmen has been working on his long-term project ""Limbo - Les Limbes"" and has undertaken a long study of photographic documentation with the populations uprooted by the spiral of conflicts.He has traveled many times to Syria, Iraq, Turkey, Greece, Macedonia, Serbia, Croatia, Hungary, Austria, Germany, Italy and France to meet people who were forced to become “refugees”. His work has been published by TIME magazine, The New York Times, Der Spiegel, Le Monde magazine M, Paris Match and L’Obs, among others. One of his pictures was selected by TIME as their Top 10 Photographs of the Year 2013.Ozmen has won several awards, among them two World Press Photo awards and Public Prize of The Bayeux Calvados awards for war correspondents. Emin was a member of the jury of 2016 World Press Photo Multimedia contest.In 2013 he founded Istanbul based photography collective Agence Le Journal with independent photographers.Özmen currently lives in Istanbul where he works on his long-term projects."
1383,Paul Hansen,Sweden,"Previously, he was a freelance photographer and writer in New York until 1992 and then he worked at swedish newspaper, Expressen. He has contributed and helped write three books, and his next book is upcoming.He has received numerous awards, including being named World Press Photo of the Year winner, Photographer of the Year by POYi in 2010 and 2012, Photographer of the Year in Sweden eight times, and two first place awards from NPPA.He is based in Stockholm."
1384,Vittore Buzzi,Italy,"Vittore Buzzi was born in 1968 in Milan, Italy. He studied business and administration at Luigi Bocconi University and photography at CFP Riccardo Bauer in Milan.He has won several awards in both editorial and artistic photography. Among his awards are an honorable mention in the Yann Geffroy Photojournalism Award, Prize of Federchimica, and Prize of Milan Provincia.He is active in photojournalism, artistic photography, teaching photography and wedding photography.Vittore Buzzi lives in Milan."
1385,Fabio Bucciarelli,Italy,"Fabio Bucciarelli is an Italian photographer and writer known for his documentation of conflicts and the humanitarian consequences of war. Bucciarelli feels the urgency to tell stories of social injustice to provide information focused on human rights.Bucciarelli has spent the last decade covering major, world-changing events in the Middle East, Africa, Europe and Central and South America. He works as a freelancer for international newspapers, magazines and non-governmental organizations. His documentary works have been recognized with the most well-known awards in photojournalism, including the Robert Capa Gold Medal, the World Press Photo Contest, Pictures of the Year International’s (POYI) Photographer of the Year, Prix Bayeux for War Correspondents, Sony International Photography Award, and Days Japan International, among other prizes. Bucciarelli’s photos have been exhibited in museums, galleries, and international art fairs including Photo London, AIPAD New York, MIA Milano, ArtVerona, Photo Basel and Maco Mexico City.Alongside his projects as a photojournalist, Bucciarelli has worked as a curator and artistic director with several museums and institutions, including the Italian Ministry of Foreign Affairs and International Cooperation.World Press Photo Involvement:2013 Photo Contest award-winning photographer2020 Photo Contest award-winning photographerFabio Bucciarelli on Social Media:Instagram: @fabio_bucciarelliTwitter: @fabio_buccia "
1386,Yongzhi Chu,China,"Yongzhi Chu was born in 1973 in Yuexi County, Anhui Province. He is a documentary photographer working for Zhejiang Daily Press Group."
1387,Wei Zheng,China,"Wei Zheng was born in Lanzhou, Gansu Province, China in 1979. He started learning about photography during his childhood.He majored in movie and picture photography at the famous Beijing Film Academy.He has covered many sports events which include the 2008 Beijing Olympic Games, 2012 London Olympic Games, 2010 Vancouver winter Olympics Games, 2010 FIFA World Cup and the world championships of many athletics, including badminton, table tennis, fencing and swimming.His personal photography has been on exhibition in China three times."
1388,Roman Vondrous,Czech Republic,"Roman Vondrous was born in Pardubice, near Prague, in Czech Republic, and studied at an electrotechnical college there. He is currently in his fifth year of studies at The Institute of Creative Photography, in Opava, in the Czech Republic.Vondrous has been interested in photography since childhood, seriously so since 2000, when he was drawn to sports photography and horseracing in particular.Currently, he is a photo reporter for the Czech Press Agency. In 2008, Vondrous photographed the summer Olympics in Beijing, China, and two years later, the winter Olympics in Vancouver, Canada."
1389,Sergei Ilnitsky,Russia,"Sergei Ilnitsky is a staff photographer for European Pressphoto Agency (EPA) in Moscow since 2003.He was born in 1974 in the small town of Mariupol, Ukraine. His passion for photography started as a child. He attended the Academy of Arts and Culture in Siberia while freelancing for newspapers and advertising agencies. Upon graduation, he worked at the regional newspaper Kuznetsky Kray. In 1995, he began as a stringer for EPA assigned to the Siberian region of Russia.He has covered topics ranging from everyday life in the Russian villages to the life of a nomad, as well as children’s colonies in Siberia, the miner's strike in the Kemerovo region, and a project about the Chernobyl nuclear power plant. However, the 2012 Summer Olympic Games in London was his career’s first big sporting event. In 2001, he received first prize in Press Photo of Russia’s sport category and, one year later, Press Photo of Russia also named two of his projects the best of the year."
1390,Chris McGrath,Australia,"Chris McGrath started his photography career at a regional newspaper in Queensland, Australia."
1391,Bruno D'Amicis,Italy,"Bruno D’Amicis was born in 1979 in Rome, where he later studied biology and became a wildlife photojournalist, specializing in mountain ecosystems and conservation issues. He has experience and an academic background in animal ecology, conservation biology, and environmental education. His images have been published by leading Italian and international newspapers, magazines, and nature books, including National Geographic, GEO, BBC Wildlife, Die Zeit, La Repubblica, and Terre Sauvage. Among his numerous accolades are a 2014 World Press Photo prize, and a Wildlife Photographer of the Year award from the Natural History Museum and BBC Wildlife Magazine.D’Amicis was one of the photographers chosen to take part in the Wild Wonders of Europe project in 2009. He worked on assignment for National Geographic magazine in 2013 and 2014, is a fellow of the International League of Conservation Photographers, and an honorary member of the Italian Association of Nature Photographers. He has published three books in recent years, one of which, Ornata, is the outcome of his 10-year-long project photographing endangered Apennine chamois and their habitat."
1392,Gianluca Panella,Italy,"Gianluca Panella is an independent italian photojournalist focused on social reportage, current affairs, and portraits. He has traveled to the Balkans, Egypt, Haiti, Lebanon, Morocco, Sudan, the United States, Europe, Israel and the Palestinian Territories. His photography has been featured in a variety of Italian and international publications.Following a background in political science, he began as a self-taught photographer. He studied photojournalism with Leonardo Brogioni in Milan before starting his career with local daily newspapers. In this same period, he met Romano Cagnoni who instilled in him the idea of photojournalism as a deep responsibility. From 2007 to 2011, Panella collaborated with the Massimo Sestini News Pictures agency, producing work for the mainstream Italian press.Panella ended his collaboration with Sestini’s agency in order to dedicate himself to personal projects, among them “Tanit Project,” a documentary work on the Mediterranean Sea that retraces the routes of ancient Phoenicians. He is now collaborating with the Italian agency Parallelo Zero.Among his works, “First Day” and “Parkour Strip,” won honorable mentions at the 2013 International Photography Awards, “Gjakmarrje” earned him two honorable mentions at the 2012 International Photo Awards, and “The Concordia Show” was awarded an honorable mention at the 2012 International Photo Awards and the Foto8 Summershow. He was a finalist for the Leica Award 2013 and the Leica Talent 2012. His exhibitions have included “Caliber 3” at the 2013 Festival of Ethical Photography and The “Concordia Show” at the “A World Elsewhere” with the Royal Shakespeare Company.He is a member of Italy’s National Order of Journalists since 2004."
1393,Markus Varesvuo,Finland,"Markus Varesvuo is a Finnish wildlife photographer specialised in birds. He turned his life-long hobby of bird watching and photography into professional wildlife photography in 2005. He has been awarded several wildlife and nature prizes such as the 2011 GDT European Wildlife Photographer Award in the category Birds. Varesvuo has published several books; among which are Birds: Magic Moments, his first international bestseller in 2011, and The Handbook of Bird Photography in 2013, written together with colleagues and friends Bence Máté and Jari Peltomäki.Varesvuo is the co-founder of the bird photography platform birdphoto.fi, a website which combines the work of four competing nature photographers and offers editors and picture researchers a library of bird photos. The site has more than 46,000 images of 566 species.Varesvuo is a Canon Explorer and a member of the team of photographers of the Wild Wonders of Europe initiative. He currently lives and works in Helsinki, Finland."
1394,Markus Schreiber,Germany,"Markus Schreiber was born in Bonn, Germany, and began his photojournalism career in 1991 as a photographer with the regional newspaper Kölnisch"
1395,Amir Pourmand,Iran,"Amir Pourmand is an Iranian photographer with an extensive career covering sports, natural disasters in Iran and the Iranian presidential elections. In 2008, Pourmand earned a BA in Visual Communication from the University of Science and Culture in Tehran. He worked as a staff photographer for Iranian Labour News Agency in 2005 and Mehr News Agency in 2006, eventually becoming a freelance photographer in 2010.His accolades include an Iranian Student’s News Agency (ISNA) Journalist"
1396,Shangzhen Fan,China,"Shangzhen Fan (1966) was born in a remote village in Guinan County of Qinghai Province, China. His main focus is nature, especially wild animals, and he has been committed to photographing wildlife for 10 years. As a 30-year native of the Tibetan plateau, every mountain, river, tree and bush in his hometown is familiar to him. He has visited different nature reserves many times, following the tracks of Tibetan antelope, white-lipped deer, wild yak, kiang, sand fox, black-necked crane and snowcock. He is also actively involved in social welfare activities, calling on the public to protect wildlife with his lens.His work has won many awards, including the gold prize in Geermu Salt Lake National Photographic Art Festival and the silver prize in the nature section of the 2012 National Geographic Photography Contest.He is a member of the Chinese Photographers Association as well as Qinghai Photographers Association, and the vice chairman of Haixizhou Photographers Association and Qinghai Petroleum Marketing Photographers Association."
1397,Elena Chernyshova,Russia,"Elena Chernyshova is a Russian documentary photographer based in France. She was born in 1981 in Moscow, USSR.A self-taught photographer, she developed a passion for this visual language during her studies in the architectural academy. After two years of work as an architect, Elena left her job and bicycled with Gael de Cevoisier from Toulouse to Vladivostok and back again: 30,000 kilometers, 26 countries, 1,004 days of cultural, human, and challenging experiences. The trip led her to decide to become a photographer.Photography for her is a way to investigate the daily life of different groups and communities in the context of environmental, political, and economic changes. Her work aims to visualize the impact of certain conditions of human activity, ways of adaptation, and diversity of lifestyles.In 2011 Elena received a grant from the Lagardère Foundation to create the photo documentary ‘Days of Night – Nights of Day’ about the daily life of the industrial city of Norilsk, located 400 kilometers north of the polar circle, in Siberia.The project has been recognized as: selection of the Circulation Photo Festival; runner up in the 2013 JGS Photography Contest, Forward Thinking Museum; and finalist in the Invisible Photographer Asia Photos Essay Awards 2013. In addition, she was awarded the 2010 Coup de Cœur of ANI (during the Visa pour l’Image festival) for the project ‘Awaiting Movement’, and was chosen as a European Emerging Talent during the Nikon International Photo Contest 2008-2009.Elena’s work has been published in National Geographic, Le Monde, Internazionale, Days Japan, A"
1398,Tanya Habjouqa,Jordan,"She approaches her subjects with sensitivity and an eye for the absurd. She is the author of Occupied Pleasures, heralded by TIME magazine and the Smithsonian as one of the best photo books of 2015 (winning a World Press Photo award in 2014). She was the recipient of the Magnum Foundation 2013 Emergency Fund, and mentors grantees from across the Arab region for their “Arab Photographer Documentary Fund” with the Prince Claus Foundation and the Arab Fund for Arts and Culture.Tanya is a founding member of Rawiya, the first all female photo collective of the Middle East and member of NOOR. She lectures ‘Narrative"
1399,Fred Ramos,El Salvador,"Fred Ramos, born in 1986, lives and works in El Salvador. He studied graphic design, but began practicing photography in 2005. Currently, Fred is a staff photographer for El Faro."
1400,Julie McGuire,UK,"British photographer Julie McGuire began photographing in her teenage years, and started working professionally in 2005. Her work ""Hounds of Hope"" documenting daily life at the Penang Animal Welfare Society was recently published on The New York Times‘ renowned Lens Blog and International New York Times. She currently lives in Bangalore, India.  "
1401,Andrea Bruce,USA,"Andrea Bruce is a documentary photographer, covering social issues in conflict areas, focusing mostly on Iraq and Afghanistan.  For eight years, she worked as a staff photographer for The Washington Post and authored a weekly column called ""Unseen Iraq."" In 2010, she became a freelance photographer in the VII Network.She has received a number of awards including top honors from the White House News Photographers Association – where she has been named Photographer of the Year four times – several awards from the International Pictures of the Year contest and the prestigious John Faber Award from the Overseas Press Club in New York. In 2010 she received the WHNPA grant for her work in Ingushetia and was a 2011 recipient of the Alicia Patterson Foundation Fellowship.Her work has been exhibited internationally, and on show in such museums as The Museum of Fine Arts in Houston with her work ""War"
1402,Julius Schrank,Germany,"Julius Schrank is a German photojournalist, currently based in Amsterdam, the Netherlands. In 2007 he studied photojournalism and documentary photography at the Hannover University of Applied Sciences in Germany.Julius has mainly worked for the Dutch daily newspaper De Volkskrant. When he's not working for the newspaper, Schrank spends as much time as possible on his own longterm projects. In the last few years, his focus has been on southeast Asia.Schrank is a regular contributor to magazines like National Geographic, Geo, Der Spiegel and others."
